A beautiful mind                        
Ryan, Meg                               
Ryan, Mitchell                          
Ryder, Winona                           
Salem's Lot                             
Sandler, Adam                           
Sarandon, Susan                         
Sartain, Gailard                        
Saunders, Jennifer                      
Savage, John                            
Sawalha, Julia                          
Saxon, John                             
Sayles, John                            
Scheider, Roy                           
Schiavelli, Vincent                     
Schneider, Rob                          
Schreiber, Liev                         
Schwarzenegger, Arnold                  
Schwimmer, David                        
Scofield, Paul                          
Scorsese, Martin                        
Scott, Campbell                         
Scott, Dougray                          
Scott, George C.                        
Scott, Seann W.                         
Scott, Tom Everett                      
Seagal, Steven                          
Sedgwick, Kyra                          
Selleck, Tom                            
Sellers, Peter                          
Serbedzija, Rade                        
Serial                                  
Seven Samurai                           
Sevigny, Chloe                          
Sewell, Rufus                           
Shalhoub, Tony                          
Shandling, Garry                        
Shanks, Michael                         
Shannon, Molly                          
Sharon Tate                             
Shatner, William                        
Shaw, Fiona                             
Shawn, Wallace                          
Shearer, Harry                          
Sheedy, Ally                            
Sheen, Charlie                          
Sheen, Martin                           
Shepard, Sam                            
Shipping News, The                      
Shirley, Brett A.                       
Shore, Pauly                            
Short, Martin                           
Shue, Elisabeth                         
Sigourney Weaver                        
Silverman, Sarah                        
Silverstone, Alicia                     
Sinatra, Frank                          
Singer, Lori                            
Sinise, Gary                            
Sinise,Gary                             
Sir Richard Attenborough                
Sizemore, Tom                           
Skarsgard, Stellan                      
Skerritt, Tom                           
Slater, Christian                       
Sling Blade                             
Smith, Kevin                            
Smith, Kurtwood                         
Smith, Maggie                           
Smith, Will                             
Smith, Yeardley                         
Snipes, Wesley                          
Sobieski, Leelee                        
Soldat van Oranje                       
Somerhalder, Ian                        
Sorkin, Adam                            
Sorvino, Mira                           
Sorvino, Paul                           
South Park: Bigger, Longer, and Uncut   
Spacek, Sissy                           
Spacey, Kevin                           
Spade, David                            
Spader, James                           
Spanish Prisoner, The                   
Spears, Britney                         
SPIELBERG, STEVEN                       
Spiner, Brent                           
Stallone, Sylvester                     
Stamp, Terence                          
Stanton, Harry Dean                     
Stanwyck, Barbara                       
Star Trek VI: The Undiscovered Country  
Star Trek: The Wrath of Khan            
Star Wars                               
Star Wars Episode VI: Return of the Jedi
Stealing Home                           
Steenburgen, Mary                       
Steiger, Rod                            
Stern, Howard                           
Stewart, James                          
Stewart, Jimmy                          
Stewart, Patrick                        
Stiers, David Ogden                     
Stiles, Julia                           
Stiller, Ben                            
Stoltz, Eric                            
Stone, Sharon                           
Stormare, Peter                         
Stowe, Madeleine                        
Strathairn, David                       
Streep, Meryl                           
Streisand, Barbra                       
Sullavan, Margaret                      
Susan Surandon                          
Sutherland, Donald                      
Sutherland, Kiefer                      
Suvari, Mena                            
Swank, Hilary                           
Swanson, Kristy                         
Swayze, Patrick                         
Sweeney, D.B.                           
Tailor of Panama, The                   
Tambor, Jeffrey                         
Tandy, Jessica                          
Tapping, Amanda                         
Tarantino, Quentin                      
Tatou, Audrey                           
Taylor, Elizabeth                       
Taylor, Holland                         
Taylor, Noah                            
Temple, Shirley                         
The Fellowship of the Ring              
The Man Who Shot Liberty Valance        
The Player                              
The Three Musketeers                    
Theron, Charlize                        
Thewlis, David                          
Thiessen, Tiffani Amber                 
Thomas, Kristin Scott                   
Thompson, Emma                          
Thompson, Lea                           
Thornton, Billy Bob                     
Thorton, Billy Bob                      
Three Weddings and a Funeral            
Thurman, Uma                            
Tierney, Maura                          
Tilly, Jennifer                         
Tom Cruise                              
Tom Hank                                
Tom Hanks                               
Tomei, Marisa                           
Tomlin, Lily                            
Tomlinson, Ricky                        
Top Gun                                 
Torn, Rip                               
Toshiro Mifune                          
Tracy, Spencer                          
Travolta, John                          
Tripplehorn, Jeanne                     
Truman Show, The                        
Tucci, Stanley                          
Tucker, Chris                           
Tull, Josephine                         
Tunney, Robin                           
Turner, Kathleen                        
Turturro, John                          
Tyler, Liv                              
U-571                                   
Ullmann, Liv                            
Ulrich, Skeet                           
Under the Volcano                       
Underwood, Blair                        
Unger, Deborah                          
Union, Gabriel                          
Van Damme, Jean-Claude                  
Vance, Courtney B.                      
Vanessa Williams                        
Vardalos, Nia                           
Vartan, Michael                         
Vaughn, Vince                           
Vega, Paz                               
Venora, Diane                           
Victor Victoria                         
Vince, Pruitt Taylor                    
Vincent, Frank                          
Visnjic, Goran                          
Vivian Leigh                            
Voight, Jon                             
von Stroheim, Erich                     
von Sydow, Max                          
Wagner, Lindsay                         
Wagner, Robert                          
Wahlberg, Mark                          
Waits, Tom                              
Walken, Christopher                     
Walker, Paul                            
Wallace, Jack                           
Walsh, J.T.                             
Walsh, M. Emmet                         
Warburton, Patrick                      
Ward, Fred                              
Warden, Jack                            
Washington, Denzel                      
Watson, Emily                           
Watts, Naomi                            
Wayans, Marlon                          
Wayne, John                             
We Were Soldiers                        
Weaver, Sigourney                       
Wedding Banquet, The                    
Weisz, Rachel                           
Weller, Peter                           
Welles, Orson                           
Wen, Ming-Na                            
Wendy Hiller                            
West, Mae                               
Wheaton, Wil                            
When Harry Met Sally                    
Whitaker, Forest                        
White, Michael Jai                      
Whitford, Bradley                       
Whitmore, James                         
Wiest, Dianne                           
Wilder, Gene                            
Wilford Brimley                         
Wilkinson, Tom                          
Willard, Fred                           
William H., Macy                        
Williams, Billy Dee                     
Williams, Robin                         
Williams, Treat                         
Williamson, Mykelti                     
Willis, Bruce                           
Wilson, Bridgette                       
Wilson, Luke                            
Wilson, Owen                            
Wilson, Rita                            
Wincott, Michael                        
Winger, Debra                           
Winslet, Kate                           
Witherspoon, Reese                      
Witness                                 
Witt, Alicia                            
Wong, B.D.                              
Wood, Elijah                            
Wood, John                              
Wood, Natalie                           
Woodard, Alfre                          
Woods, James                            
Working Girl                            
Wright, Robin                           
Wuhrer, Kari                            
Wyle, Noah                              
Yeo, Michelle                           
York, Michael                           
Young Frankenstein                      
Young, Sean                             
Yulin, Harris                           
Yun-Fat, Chow                           
Zabka, William                          
Zahn, Steve                             
Zane, Billy                             
Zellweger, Renee                        
Zeta-Jones, Catherine                   
Zhang, Ziyi                             
